,Country,Region,Population (millions),HDI,GDP per Capita,Cropland Footprint,Grazing Footprint,Forest Footprint,Carbon Footprint,Fish Footprint,Total Ecological Footprint,Cropland,Grazing Land,Forest Land,Fishing Water,Urban Land,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Data Quality,No Footprint Component Data,No Biocapacity Component Data
137,Portugal,European Union,10.6,0.83,23217.3,1.03,0.25,0.09,2.15,0.31,3.88,4.981999999999999,0.636,9.01,0.742,0.53,16.006,-2.37,2.24,2.57,5,,
138,Qatar,Middle East/Central Asia,2.05,0.85,99431.5,0.57,0.27,0.15,9.57,0.19,10.8,0.020499999999999997,0.0,0.0,2.3985,0.12299999999999998,2.542,-9.56,6.24,8.72,3L,,
139,Réunion,Africa,0.86,,,0.14,0.01,0.15,3.27,0.09,3.65,0.12040000000000001,0.0086,0.0344,0.0,0.0,0.1548,-3.47,2.11,20.18,5,,
140,Romania,European Union,21.76,0.79,9213.94,0.72,0.05,0.33,1.46,0.03,2.71,18.9312,2.3936,24.8064,1.7408000000000001,2.6112,50.483200000000004,-0.39,1.56,1.17,5,,
141,Russian Federation,Northern/Eastern Europe,143.17,0.79,13320.2,0.77,0.15,0.67,3.87,0.19,5.69,121.69449999999999,48.6778,627.0845999999999,170.37229999999997,4.2951,972.1243,1.1,3.29,0.84,6,,
142,Rwanda,Africa,11.46,0.48,628.08,0.43,0.05,0.25,0.07,0.01,0.87,4.8132,0.5730000000000001,0.11460000000000001,0.11460000000000001,0.5730000000000001,6.188400000000001,-0.32,0.5,1.6,5,,
143,Saint Kitts and Nevis,Latin America,0.05,0.74,12952.5,0.51,0.18,0.09,3.34,0.81,4.94,0.003,0.0005,0.0085,0.019000000000000003,0.0,0.031,-4.31,2.85,7.92,3L,,
144,Saint Lucia,Latin America,0.18,0.73,7737.2,0.38,0.1,0.17,1.56,0.23,2.45,0.018,0.0,0.018,0.0252,0.0,0.061200000000000004,-2.1,1.41,7.12,3B,,
145,Saint Vincent and Grenadines,Latin America,0.11,0.72,6171.48,,,,,,3.11,,,,,,0.1386,-1.85,1.79,2.47,2,3.11,0.1386
146,Samoa,Asia-Pacific,0.19,0.7,4067.15,0.97,0.16,0.27,0.96,0.42,2.77,0.1311,0.0019,0.2223,0.0114,0.0,0.36669999999999997,-0.85,1.6,1.44,3B,,
147,Sao Tome and Principe,Africa,0.19,0.55,1384.53,0.36,0.02,0.27,0.37,0.47,1.49,0.0475,0.0,0.041800000000000004,0.07600000000000001,0.0,0.1653,-0.61,0.86,1.7,3B,,
148,Saudi Arabia,Middle East/Central Asia,28.29,0.83,23593.8,0.74,0.27,0.27,4.21,0.08,5.61,2.5461,3.3947999999999996,1.9803000000000002,5.0922,1.1316,14.145,-5.12,3.24,11.28,3L,,
149,Senegal,Africa,13.73,0.46,1079.27,0.34,0.21,0.21,0.3,0.12,1.21,2.8833,2.3341000000000003,6.3158,2.3341000000000003,0.2746,14.416500000000001,-0.16,0.7,1.16,5,,
150,Serbia,Northern/Eastern Europe,9.55,0.76,6426.18,0.49,0.02,0.46,1.66,0.02,2.7,6.971500000000001,0.19100000000000003,4.393000000000001,0.0,0.38200000000000006,11.9375,-1.44,1.56,2.15,5,,
151,Sierra Leone,Africa,5.98,0.4,499.89,0.47,0.11,0.38,0.07,0.15,1.24,2.5116,2.093,1.1362,1.3156,0.29900000000000004,7.4152000000000005,0.0,0.71,1.0,6,,
152,Singapore,Asia-Pacific,5.3,0.91,53122.4,0.67,0.24,0.91,5.91,0.22,7.97,0.0,0.0,0.0,0.053,0.159,0.265,-7.92,4.61,159.47,5,,
153,Slovakia,European Union,5.45,0.84,18103.1,0.31,0.08,0.72,2.82,0.03,4.06,3.8695,0.327,10.082500000000001,0.0,0.4905,14.7695,-1.35,2.35,1.5,5,,
154,Slovenia,European Union,2.07,0.88,25040.5,0.64,0.17,0.65,4.27,0.05,5.81,0.7658999999999999,0.1449,3.8709,0.0,0.0828,4.8645,-3.47,3.36,2.48,6,,
155,Solomon Islands,Asia-Pacific,0.55,0.5,1647.86,0.47,0.03,0.09,0.0,0.46,1.29,0.36300000000000004,0.0055000000000000005,1.254,0.6545,0.12650000000000003,2.3980000000000006,3.08,0.74,0.29,3L,,
156,Somalia,Africa,10.2,,,0.16,0.43,0.52,0.07,0.01,1.24,0.9179999999999999,5.712,2.2439999999999998,3.366,0.612,12.953999999999999,0.03,0.71,0.98,5,,
157,South Africa,Africa,52.39,0.66,8089.87,0.44,0.11,0.29,2.34,0.08,3.31,18.336499999999997,30.3862,1.0478,8.9063,2.0956,60.24849999999999,-2.16,1.91,2.87,5,,
158,Spain,European Union,46.76,0.87,32008.7,0.78,0.15,0.17,2.22,0.32,3.67,33.667199999999994,4.676,15.8984,2.8055999999999996,1.8704,58.449999999999996,-2.42,2.12,2.94,6,,
159,Sri Lanka,Asia-Pacific,21.1,0.75,2880.03,0.31,0.01,0.16,0.52,0.27,1.32,5.486000000000001,0.42200000000000004,0.8440000000000001,1.4770000000000003,1.0550000000000002,9.284,-0.88,0.77,3.01,6,,
160,Suriname,Latin America,0.54,0.71,8190.7,0.43,0.06,0.52,3.01,0.14,4.25,0.162,0.0162,44.0208,3.9906,0.048600000000000004,48.2382,85.08,2.46,0.05,3L,,
161,Swaziland,Africa,1.23,0.53,4657.48,0.35,0.41,0.52,0.67,0.01,2.01,0.3075,0.6273,0.0615,0.0,0.07379999999999999,1.0824,-1.14,1.16,2.3,3L,,
162,Sweden,European Union,9.51,0.9,59381.9,1.47,0.27,1.3,3.88,0.09,7.25,12.4581,2.0922,63.3366,20.8269,2.2824,100.99619999999999,3.38,4.19,0.68,5,,
163,Switzerland,Northern/Eastern Europe,8.0,0.93,88506.2,0.75,0.22,0.38,4.26,0.07,5.79,2.56,0.96,5.92,0.08,0.96,10.4,-4.48,3.34,4.44,6,,
164,Syrian Arab Republic,Middle East/Central Asia,21.89,0.62,,0.52,0.09,0.04,0.81,0.01,1.51,8.9749,2.189,0.8756,0.0,1.0945,13.134,-0.91,0.87,2.5,5,,
165,Tajikistan,Middle East/Central Asia,8.01,0.62,836.17,0.46,0.14,0.1,0.13,0.0,0.91,2.3228999999999997,1.1214000000000002,0.0801,0.0801,0.6408,4.2453,-0.38,0.52,1.71,5,,
166,"Tanzania, United Republic of",Africa,47.78,0.51,765.33,0.44,0.34,0.23,0.17,0.09,1.32,21.978800000000003,16.2452,8.1226,2.8668,2.8668,51.6024,-0.24,0.76,1.23,6,,
167,Thailand,Asia-Pacific,66.78,0.72,5479.29,0.67,0.02,0.24,1.54,0.13,2.66,51.4206,0.6678000000000001,13.356000000000002,12.6882,4.674600000000001,82.8072,-1.42,1.54,2.14,6,,
168,Timor-Leste,Asia-Pacific,1.11,0.6,5167.86,0.25,0.07,0.04,0.06,0.02,0.48,0.2331,0.0666,0.5772,1.0434,0.0444,1.9758000000000002,1.3,0.28,0.27,3B,,
169,Togo,Africa,6.64,0.47,580.86,0.34,0.1,0.27,0.31,0.08,1.13,2.2576,0.7968,0.1992,0.1328,0.1328,3.5192,-0.6,0.65,2.13,6,,
170,Tonga,Asia-Pacific,0.1,0.72,4330.9,1.19,0.32,0.14,0.88,0.18,2.7,0.083,0.002,0.011000000000000001,0.052000000000000005,0.0,0.148,-1.22,1.56,1.82,3B,,
171,Trinidad and Tobago,Latin America,1.34,0.77,18310.8,0.46,0.19,0.27,6.89,0.11,7.92,0.0536,0.0134,0.201,1.8358000000000003,0.0,2.0904000000000003,-6.36,4.57,5.07,3B,,
172,Tunisia,Africa,10.88,0.72,4305.07,0.76,0.09,0.28,1.11,0.06,2.34,5.766400000000001,0.8704000000000001,0.544,2.6112,0.43520000000000003,10.118400000000001,-1.4,1.35,2.51,5,,
173,Turkey,Middle East/Central Asia,74.0,0.76,10437.7,0.87,0.12,0.34,1.92,0.04,3.33,55.5,6.66,44.4,2.96,2.96,112.48,-1.81,1.92,2.19,5,,
174,Turkmenistan,Middle East/Central Asia,5.17,0.68,5290.14,0.73,0.44,0.08,4.13,0.01,5.47,3.102,10.1332,0.1034,0.6721,0.4653,14.4243,-2.68,3.16,1.96,6,,
175,Uganda,Africa,36.35,0.48,601.35,0.34,0.15,0.54,0.08,0.11,1.24,12.7225,5.4525,0.36350000000000005,1.4540000000000002,1.4540000000000002,21.4465,-0.66,0.72,2.12,6,,
176,Ukraine,Northern/Eastern Europe,45.53,0.74,3589.63,0.62,0.01,0.16,1.92,0.06,2.84,68.295,5.4636,19.5779,6.8295,3.1871000000000005,103.3531,-0.58,1.64,1.25,5,,
177,United Kingdom,European Union,63.03,0.9,40980.5,0.82,0.28,0.45,3.14,0.08,4.94,37.818,7.5636,7.5636,18.909,11.3454,83.1996,-3.62,2.85,3.76,6,,
178,United Arab Emirates,Middle East/Central Asia,9.206,0.83,40817.4,0.8,0.19,0.38,6.37,0.19,7.93,0.18412,0.0,0.64442,4.32682,0.0,5.15536,-7.37,4.58,14.160714285714299,6,,
179,United States of America,North America,317.5,0.91,49725.0,1.13,0.3,0.67,5.9,0.12,8.22,473.075,88.9,498.475,104.775,28.575,1193.8,-4.46,4.75,2.19,6,,
180,Uruguay,Latin America,3.4,0.79,14238.1,0.19,0.98,0.55,0.98,0.05,2.91,6.425999999999999,16.524,4.148,7.412,0.5780000000000001,35.088,7.41,1.68,0.28,3B,,
181,Uzbekistan,Middle East/Central Asia,28.54,0.67,1560.85,0.62,0.13,0.08,1.41,0.0,2.32,15.9824,5.708,1.7124,0.8562,2.2832,26.256800000000002,-1.4,1.34,2.52,6,,
182,"Venezuela, Bolivarian Republic of",Latin America,29.96,0.763846,10237.8,0.45,0.74,0.12,2.13,0.09,3.57,4.194400000000001,17.077199999999998,53.6284,7.1904,1.1984000000000001,83.2888,-0.79,2.06,1.28,5,,
183,Viet Nam,Asia-Pacific,90.8,0.66,1532.31,0.5,0.01,0.19,0.79,0.05,1.65,49.940000000000005,0.908,15.436,14.528,9.08,90.8,-0.65,0.95,1.66,6,,
184,Wallis and Futuna Islands,Asia-Pacific,0.01,,,,,,,,2.07,,,,,,0.0151,-0.56,1.19,1.37,3T,2.07,0.0151
185,Yemen,Middle East/Central Asia,23.85,0.5,1302.3,0.34,0.14,0.04,0.42,0.04,1.03,2.1465,2.862,0.9540000000000001,4.7700000000000005,0.9540000000000001,11.925,-0.53,0.59,2.06,5,,
186,Zambia,Africa,14.08,0.58,1740.64,0.19,0.18,0.33,0.24,0.01,0.99,3.3792,13.235199999999999,13.9392,0.2816,0.5632,31.3984,1.24,0.57,0.44,6,,
187,Zimbabwe,Africa,13.72,0.49,865.91,0.2,0.32,0.29,0.53,0.01,1.37,2.058,4.3904000000000005,1.6464,0.13720000000000002,0.27440000000000003,8.506400000000001,-0.75,0.79,2.2,6,,
